city,latitude,longitude,date,nkill,nwound,gname
Beirut,33.888523,35.503513,1981-12-15,66.0,100.0,Iraqi Liberation Army
Tyre district,33.287166,35.236186,1982-11-11,90.0,,Palestine Liberation Organization (PLO)
Beirut,33.888523,35.503513,1983-04-18,63.0,120.0,Hezbollah
Beirut,33.888523,35.503513,1983-10-23,241.0,75.0,Hezbollah
Beirut,33.888523,35.503513,1983-10-23,58.0,0.0,Hezbollah
Tyre,33.266151,35.214058,1983-11-04,,,Hezbollah
Unknown,,,1983-12-12,,,Hezbollah
Sidon,33.550434,35.370964,1984-06-16,1.0,5.0,Unknown
Beirut,33.888523,35.503513,1984-09-20,23.0,68.0,Hezbollah
Tyre,33.266151,35.214058,1985-02-05,12.0,60.0,Unknown
Metula,33.277232,35.578235,1985-03-10,12.0,14.0,Lebanese National Resistance Front
Jezzine,33.541351,35.586215,1985-04-09,2.0,,Syrian Social Nationalist Party
Hasbaya,33.397778,35.685,1985-05-09,3.0,0.0,Unknown
Beirut,33.888523,35.503513,1985-06-14,23.0,42.0,Khalid ibn Walid
Hasbaya,33.397778,35.685,1985-07-09,15.0,6.0,Syrian Social Nationalist Party
Ras al-Bayada,,,1985-07-09,0.0,2.0,Syrian Social Nationalist Party
Kafr Tibnit,33.353333,35.512778,1985-07-15,14.0,7.0,Lebanese National Resistance Front
Arnoun,33.331503,35.52586,1985-07-31,,0.0,Syrian Social Nationalist Party
Rimat,33.528333,35.509444,1985-08-28,1.0,4.0,Unknown
Jezzine,33.541351,35.586215,1985-09-04,1.0,0.0,Arab Socialist Baath Party
Hasbaya,33.397778,35.685,1985-09-11,0.0,2.0,Unknown
Beirut,33.888523,35.503513,1985-09-17,30.0,0.0,Unknown
Beirut,33.888523,35.503513,1985-10-17,5.0,0.0,Lebanese National Resistance Front
Aukar,34.432778,35.916389,1985-11-12,4.0,26.0,Unknown
Jezzine,33.541351,35.586215,1985-11-27,,,Arab Socialist Baath Party
Hasbaya,33.397778,35.685,1986-04-08,2.0,0.0,Unknown
Jezzine,33.541351,35.586215,1986-07-17,1.0,7.0,Syrian Social Nationalist Party
Unknown,33.474535,35.359255,1986-11-21,3.0,3.0,Palestine Liberation Organization (PLO)
Nelliady,9.804272,80.1654,1987-07-05,27.0,20.0,Liberation Tigers of Tamil Eelam (LTTE)
Beirut,33.888523,35.503513,1987-11-11,5.0,70.0,Unknown
Beirut,33.888523,35.503513,1987-11-14,7.0,31.0,Unknown
Marjayoun,33.246259,35.5001,1988-08-19,0.0,0.0,Unknown
Kfar Kila,33.277222,35.551667,1988-10-19,7.0,10.0,Hezbollah
Nelspruit,-25.474193,30.969455,1989-05-23,1.0,2.0,African National Congress (South Africa)
Rosh Hanikra,33.085678,35.113181,1989-10-30,1.0,1.0,Palestinians
Montreal,45.501675,-73.567215,1989-12-06,15.0,14.0,Anti-feminist extremists
